time,Open,High,Low,Close,Volume,spread
2026-04-06 18:00:00+00:00,1.1542,1.15434,1.15344,1.15432,3948,19
2026-04-06 19:00:00+00:00,1.15432,1.15471,1.15412,1.1544,2510,19
2026-04-06 20:00:00+00:00,1.15439,1.15481,1.15331,1.15404,4001,19
2026-04-06 21:00:00+00:00,1.15404,1.15515,1.1538599999999999,1.1544699999999999,4733,19
2026-04-06 22:00:00+00:00,1.15448,1.15458,1.15397,1.15418,1271,19
2026-04-06 23:00:00+00:00,1.15419,1.15435,1.15366,1.15393,1170,19
2026-04-07 00:00:00+00:00,1.15391,1.15427,1.15332,1.15395,412,31
2026-04-07 01:00:00+00:00,1.15392,1.15466,1.15385,1.15416,796,19
2026-04-07 02:00:00+00:00,1.15415,1.15422,1.15377,1.15398,680,19
2026-04-07 03:00:00+00:00,1.15398,1.15429,1.15356,1.15365,1706,19
2026-04-07 04:00:00+00:00,1.15366,1.15392,1.15262,1.1529099999999999,2434,19
2026-04-07 05:00:00+00:00,1.1529099999999999,1.1531,1.15232,1.15287,1387,19
2026-04-07 06:00:00+00:00,1.15287,1.15337,1.15278,1.15334,619,19
2026-04-07 07:00:00+00:00,1.15336,1.15378,1.15319,1.15373,970,19
2026-04-07 08:00:00+00:00,1.15374,1.15387,1.15292,1.15344,1743,19
2026-04-07 09:00:00+00:00,1.15346,1.15445,1.15316,1.1543700000000001,2696,19
2026-04-07 10:00:00+00:00,1.15439,1.15451,1.15358,1.15417,2248,19
2026-04-07 11:00:00+00:00,1.1541299999999999,1.15746,1.15409,1.15725,6585,19
2026-04-07 12:00:00+00:00,1.15725,1.15744,1.15613,1.15618,3801,19
2026-04-07 13:00:00+00:00,1.1562000000000001,1.15627,1.1544699999999999,1.1553200000000001,6185,19
2026-04-07 14:00:00+00:00,1.1553200000000001,1.15611,1.1547,1.1559,3425,19
2026-04-07 15:00:00+00:00,1.15591,1.15688,1.15529,1.1559300000000001,4807,19
2026-04-07 16:00:00+00:00,1.15597,1.1564,1.1555,1.15627,4817,19
2026-04-07 17:00:00+00:00,1.15626,1.15824,1.15574,1.15709,6452,19
2026-04-07 18:00:00+00:00,1.15709,1.15774,1.15649,1.15701,5653,19
2026-04-07 19:00:00+00:00,1.15702,1.15785,1.15687,1.15704,4114,19
2026-04-07 20:00:00+00:00,1.15705,1.15786,1.1565400000000001,1.15766,3508,19
2026-04-07 21:00:00+00:00,1.15767,1.15821,1.15703,1.15737,2426,19
2026-04-07 22:00:00+00:00,1.15737,1.16007,1.1572,1.1594,7138,19
